question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
22,1,112.5,547.0,0.0,0.0,0.0,0.0,0.0,empty
22,2,129.5,547.0,0.733572,0.731707,0.737924,0.731707,0.731707,candidate_marked
22,3,146.5,547.0,0.0,0.0,0.0,0.0,0.0,empty
22,4,163.5,547.0,0.000976,0.0,0.003252,0.0,0.0,empty
23,1,112.5,561.0,0.0,0.0,0.0,0.0,0.0,empty
23,2,129.5,561.0,0.002095,0.0,0.006982,0.0,0.0,empty
23,3,146.5,561.0,0.0,0.0,0.0,0.0,0.0,empty
23,4,163.5,561.0,0.592138,0.585366,0.607939,0.585366,0.585366,candidate_marked
24,1,112.5,574.0,0.0,0.0,0.0,0.0,0.0,empty
24,2,129.5,574.0,0.001521,0.0,0.005069,0.0,0.0,empty
24,3,146.5,574.0,0.853659,0.853659,0.853659,0.853659,0.853659,candidate_marked
24,4,163.5,574.0,0.001004,0.0,0.003348,0.0,0.0,empty
25,1,112.5,588.0,0.0,0.0,0.0,0.0,0.0,empty
25,2,129.5,587.5,0.019922,0.0,0.066405,0.0,0.0,empty
25,3,146.5,587.5833333333334,0.761693,0.756098,0.774749,0.756098,0.756098,candidate_marked
25,4,163.5,587.5,0.019078,0.0,0.063595,0.0,0.0,empty
26,1,112.5,601.0,0.0,0.0,0.0,0.0,0.0,empty
26,2,129.5,601.0,0.733343,0.731707,0.737159,0.731707,0.731707,candidate_marked
26,3,146.5,601.0,0.0,0.0,0.0,0.0,0.0,empty
26,4,163.5,601.0,0.001119,0.0,0.00373,0.0,0.0,empty
27,1,112.5,614.5,0.014824,0.0,0.049412,0.0,0.0,empty
27,2,129.5,614.5,0.660086,0.658537,0.663702,0.658537,0.658537,candidate_marked
27,3,146.5,614.5,0.014824,0.0,0.049412,0.0,0.0,empty
27,4,163.5,614.5,0.016824,0.0,0.056078,0.0,0.0,empty
28,1,112.5,628.0,0.0,0.0,0.0,0.0,0.0,empty
28,2,129.5,628.0,0.001693,0.0,0.005643,0.0,0.0,empty
28,3,146.5,628.0,0.856241,0.853659,0.862267,0.853659,0.853659,candidate_marked
28,4,163.5,628.0,0.001148,0.0,0.003826,0.0,0.0,empty
29,1,112.5,641.5,0.800445,0.804878,0.810426,0.780488,0.804878,candidate_marked
29,2,129.5,641.5,0.020294,0.0,0.067647,0.0,0.0,empty
29,3,146.5,641.5,0.015314,0.0,0.051046,0.0,0.0,empty
29,4,163.5,641.5,0.019471,0.0,0.064902,0.0,0.0,empty
30,1,112.5,655.0,0.901492,0.902439,0.899283,0.902439,0.902439,candidate_marked
30,2,129.5,655.0,0.001722,0.0,0.005739,0.0,0.0,empty
30,3,146.5,655.0,0.0,0.0,0.0,0.0,0.0,empty
30,4,163.5,655.0,0.001205,0.0,0.004017,0.0,0.0,empty
31,1,112.5,668.0,0.0,0.0,0.0,0.0,0.0,empty
31,2,129.5,668.0,0.001492,0.0,0.004974,0.0,0.0,empty
31,3,146.5,668.0,0.0,0.0,0.0,0.0,0.0,empty
31,4,163.5,668.0,0.692654,0.707317,0.699091,0.658537,0.707317,candidate_marked
32,1,112.5,682.0,0.707719,0.707317,0.708656,0.707317,0.707317,candidate_marked
32,2,129.5,682.0,0.001779,0.0,0.00593,0.0,0.0,empty
32,3,146.5,682.0,0.0,0.0,0.0,0.0,0.0,empty
32,4,163.5,682.0,0.001263,0.0,0.004209,0.0,0.0,empty
33,1,112.5,695.0,0.0,0.0,0.0,0.0,0.0,empty
33,2,129.5,695.0,0.001492,0.0,0.004974,0.0,0.0,empty
33,3,146.5,695.0,0.756098,0.756098,0.756098,0.756098,0.756098,candidate_marked
33,4,163.5,695.0,0.000976,0.0,0.003252,0.0,0.0,empty
34,1,112.5,709.0,0.0,0.0,0.0,0.0,0.0,empty
34,2,129.5,709.0,0.001836,0.0,0.006121,0.0,0.0,empty
34,3,146.5,709.0,0.882439,0.878049,0.892683,0.878049,0.878049,candidate_marked
34,4,163.5,709.0,0.001263,0.0,0.004209,0.0,0.0,empty
35,1,112.5,722.0,0.0,0.0,0.0,0.0,0.0,empty
35,2,129.5,722.0,0.001492,0.0,0.004974,0.0,0.0,empty
35,3,146.5,722.0,0.805638,0.804878,0.827738,0.780488,0.804878,candidate_marked
35,4,163.5,722.0,0.000976,0.0,0.003252,0.0,0.0,empty
36,1,112.5,736.0,0.707317,0.707317,0.707317,0.707317,0.707317,candidate_marked
36,2,129.5,736.0,0.001923,0.0,0.006408,0.0,0.0,empty
36,3,146.5,736.0,0.0,0.0,0.0,0.0,0.0,empty
36,4,163.5,736.0,0.00132,0.0,0.0044,0.0,0.0,empty
37,1,112.5,749.0,0.0,0.0,0.0,0.0,0.0,empty
37,2,129.5,749.0,0.001492,0.0,0.004974,0.0,0.0,empty
37,3,146.5,749.0,0.0,0.0,0.0,0.0,0.0,empty
37,4,163.5,749.0,0.784735,0.780488,0.794644,0.780488,0.780488,candidate_marked
38,1,112.5,763.0,0.822769,0.829268,0.827929,0.804878,0.829268,candidate_marked
38,2,129.5,763.0,0.001951,0.0,0.006504,0.0,0.0,empty
38,3,146.5,763.0,0.0,0.0,0.0,0.0,0.0,empty
38,4,163.5,763.0,0.001435,0.0,0.004782,0.0,0.0,empty
39,1,112.5,776.0,0.0,0.0,0.0,0.0,0.0,empty
39,2,129.5,776.0,0.001492,0.0,0.004974,0.0,0.0,empty
39,3,146.5,776.0,0.0,0.0,0.0,0.0,0.0,empty
39,4,163.5,776.0,0.834663,0.829268,0.84725,0.829268,0.829268,candidate_marked
40,1,112.5,790.0,0.731707,0.731707,0.731707,0.731707,0.731707,candidate_marked
40,2,129.5,790.0,0.002037,0.0,0.006791,0.0,0.0,empty
40,3,146.5,790.0,0.0,0.0,0.0,0.0,0.0,empty
40,4,163.5,790.0,0.001463,0.0,0.004878,0.0,0.0,empty
41,1,112.5,803.0,0.0,0.0,0.0,0.0,0.0,empty
41,2,129.5,803.0,0.001521,0.0,0.005069,0.0,0.0,empty
41,3,146.5,803.0,0.89901,0.902439,0.911334,0.878049,0.902439,candidate_marked
41,4,163.5,803.0,0.000976,0.0,0.003252,0.0,0.0,empty
42,1,112.5,817.0,0.0,0.0,0.0,0.0,0.0,empty
42,2,129.5,817.0,0.002095,0.0,0.006982,0.0,0.0,empty
42,3,146.5,817.0,0.714376,0.707317,0.730847,0.707317,0.707317,candidate_marked
42,4,163.5,817.0,0.001521,0.0,0.005069,0.0,0.0,empty
43,1,112.5,830.0,0.0,0.0,0.0,0.0,0.0,empty
43,2,129.5,830.0,0.762181,0.756098,0.776375,0.756098,0.756098,candidate_marked
43,3,146.5,830.0,0.0,0.0,0.0,0.0,0.0,empty
43,4,163.5,830.0,0.001004,0.0,0.003348,0.0,0.0,empty
44,1,112.5,843.5555555555555,0.74759,0.756098,0.748063,0.731707,0.756098,candidate_marked
44,2,129.5,843.5,0.02002,0.0,0.066732,0.0,0.0,empty
44,3,146.5,843.5,0.015235,0.0,0.050784,0.0,0.0,empty
44,4,163.5,843.5,0.019118,0.0,0.063725,0.0,0.0,empty
45,1,112.5,857.0,0.853659,0.853659,0.853659,0.853659,0.853659,candidate_marked
45,2,129.5,857.0,0.001636,0.0,0.005452,0.0,0.0,empty
45,3,146.5,857.0,0.0,0.0,0.0,0.0,0.0,empty
45,4,163.5,857.0,0.001119,0.0,0.00373,0.0,0.0,empty
46,1,112.5,870.5,0.014824,0.0,0.049412,0.0,0.0,empty
46,2,129.5,870.5,0.638565,0.634146,0.648876,0.634146,0.634146,candidate_marked
46,3,146.5,870.5,0.014824,0.0,0.049412,0.0,0.0,empty
46,4,163.5,870.5,0.016843,0.0,0.056144,0.0,0.0,empty
47,1,112.5,884.0,0.0,0.0,0.0,0.0,0.0,empty
47,2,129.5,884.0,0.001693,0.0,0.005643,0.0,0.0,empty
47,3,146.5,884.0,0.94231,0.95122,0.941846,0.926829,0.95122,candidate_marked
47,4,163.5,884.0,0.001148,0.0,0.003826,0.0,0.0,empty
48,1,112.5,897.0,0.750631,0.756098,0.758202,0.731707,0.756098,candidate_marked
48,2,129.5,897.0,0.001492,0.0,0.004974,0.0,0.0,empty
48,3,146.5,897.0,0.0,0.0,0.0,0.0,0.0,empty
48,4,163.5,897.0,0.000976,0.0,0.003252,0.0,0.0,empty
49,1,112.5,911.0,0.0,0.0,0.0,0.0,0.0,empty
49,2,129.5,911.0,0.804433,0.804878,0.823721,0.780488,0.804878,candidate_marked
49,3,146.5,911.0,0.0,0.0,0.0,0.0,0.0,empty
49,4,163.5,911.0,0.001205,0.0,0.004017,0.0,0.0,empty
50,1,112.5,924.0,0.0,0.0,0.0,0.0,0.0,empty
50,2,129.5,924.0,0.001492,0.0,0.004974,0.0,0.0,empty
50,3,146.5,924.0,0.0,0.0,0.0,0.0,0.0,empty
50,4,163.5,924.0,0.000976,0.0,0.003252,0.0,0.0,empty
51,1,202.0,264.0,0.0,0.0,0.0,0.0,0.0,empty
51,2,219.0,264.0,0.0,0.0,0.0,0.0,0.0,empty
51,3,236.5,264.0,0.0,0.0,0.0,0.0,0.0,empty
51,4,253.5,264.0,0.710818,0.707317,0.718986,0.707317,0.707317,candidate_marked
52,1,202.0,278.0,0.0,0.0,0.0,0.0,0.0,empty
52,2,219.5,278.0,0.002382,0.0,0.007939,0.0,0.0,empty
52,3,236.5,278.0,0.773128,0.780488,0.776279,0.756098,0.780488,candidate_marked
52,4,253.5,278.0,0.001779,0.0,0.00593,0.0,0.0,empty
53,1,202.0,291.0,0.0,0.0,0.0,0.0,0.0,empty
53,2,219.5,291.0,0.001836,0.0,0.006121,0.0,0.0,empty
53,3,236.5,291.0,0.0,0.0,0.0,0.0,0.0,empty
53,4,253.5,291.0,0.756671,0.756098,0.758011,0.756098,0.756098,candidate_marked
54,1,202.0,305.0,0.0,0.0,0.0,0.0,0.0,empty
54,2,219.5,305.0,0.002468,0.0,0.008226,0.0,0.0,empty
54,3,236.5,305.0,0.837475,0.829268,0.856624,0.829268,0.829268,candidate_marked
54,4,253.5,305.0,0.001836,0.0,0.006121,0.0,0.0,empty
55,1,202.0,318.0,0.0,0.0,0.0,0.0,0.0,empty
55,2,219.3235294117647,318.0,0.94561,0.95122,0.952846,0.926829,0.95122,candidate_marked
55,3,236.5,318.0,0.0,0.0,0.0,0.0,0.0,empty
55,4,253.5,318.0,0.001349,0.0,0.004495,0.0,0.0,empty
56,1,202.0,331.5,0.015216,0.0,0.050719,0.0,0.0,empty
56,2,219.5,332.0,0.002554,0.0,0.008513,0.0,0.0,empty
56,3,236.5,331.8611111111111,0.756098,0.756098,0.756098,0.756098,0.756098,candidate_marked
56,4,253.5,331.5,0.019569,0.0,0.065229,0.0,0.0,empty
57,1,202.0,345.0,0.0,0.0,0.0,0.0,0.0,empty
57,2,219.5,345.0,0.001951,0.0,0.006504,0.0,0.0,empty
57,3,236.5,345.0,0.829268,0.829268,0.829268,0.829268,0.829268,candidate_marked
57,4,253.5,345.0,0.001435,0.0,0.004782,0.0,0.0,empty
58,1,202.0,358.5,0.014824,0.0,0.049412,0.0,0.0,empty
58,2,219.3235294117647,358.5,0.821822,0.829268,0.824773,0.804878,0.829268,candidate_marked
58,3,236.5,358.5,0.014824,0.0,0.049412,0.0,0.0,empty
58,4,253.5,358.5,0.01751,0.0,0.058366,0.0,0.0,empty
59,1,202.0,372.0,0.0,0.0,0.0,0.0,0.0,empty
59,2,219.5,372.0,0.00198,0.0,0.0066,0.0,0.0,empty
59,3,236.5,372.0,0.857733,0.853659,0.867241,0.853659,0.853659,candidate_marked
59,4,253.5,372.0,0.001463,0.0,0.004878,0.0,0.0,empty
60,1,202.0,385.5,0.709211,0.707317,0.71363,0.707317,0.707317,candidate_marked
60,2,219.0,385.5,0.015431,0.0,0.051438,0.0,0.0,empty
60,3,236.5,385.5,0.015353,0.0,0.051176,0.0,0.0,empty
60,4,253.5,385.5,0.01998,0.0,0.066601,0.0,0.0,empty
61,1,202.0,399.0,0.0,0.0,0.0,0.0,0.0,empty
61,2,219.3235294117647,399.0,0.855725,0.853659,0.860545,0.853659,0.853659,candidate_marked
61,3,236.5,399.0,0.0,0.0,0.0,0.0,0.0,empty
61,4,253.5,399.0,0.001521,0.0,0.005069,0.0,0.0,empty
62,1,202.0,412.0,0.0,0.0,0.0,0.0,0.0,empty
62,2,219.3235294117647,412.0,0.761607,0.756098,0.774462,0.756098,0.756098,candidate_marked
62,3,236.5,412.0,0.0,0.0,0.0,0.0,0.0,empty
62,4,253.5,412.0,0.00132,0.0,0.0044,0.0,0.0,empty
63,1,202.0,426.0,0.0,0.0,0.0,0.0,0.0,empty
63,2,219.3235294117647,426.0,0.855495,0.853659,0.85978,0.853659,0.853659,candidate_marked
63,3,236.5,426.0,0.0,0.0,0.0,0.0,0.0,empty
63,4,253.5,426.0,0.001578,0.0,0.005261,0.0,0.0,empty
64,1,202.0,439.0,0.0,0.0,0.0,0.0,0.0,empty
64,2,219.0,439.0,0.0,0.0,0.0,0.0,0.0,empty
64,3,236.5,439.0,0.0,0.0,0.0,0.0,0.0,empty
64,4,253.5,439.0,0.692769,0.682927,0.715734,0.682927,0.682927,candidate_marked
65,1,202.0,453.0,0.0,0.0,0.0,0.0,0.0,empty
65,2,219.5,453.0,0.002123,0.0,0.007078,0.0,0.0,empty
65,3,236.5,453.0,0.0,0.0,0.0,0.0,0.0,empty
65,4,253.5,453.0,0.733343,0.731707,0.737159,0.731707,0.731707,candidate_marked
66,1,202.0,466.0,0.0,0.0,0.0,0.0,0.0,empty
66,2,219.0,466.0,0.0,0.0,0.0,0.0,0.0,empty
66,3,236.5,466.0,0.775165,0.780488,0.78307,0.756098,0.780488,candidate_marked
66,4,253.5,466.0,0.00132,0.0,0.0044,0.0,0.0,empty
67,1,202.0,480.0,0.0,0.0,0.0,0.0,0.0,empty
67,2,219.3235294117647,480.0,0.832712,0.829268,0.840746,0.829268,0.829268,candidate_marked
67,3,236.5,480.0,0.0,0.0,0.0,0.0,0.0,empty
67,4,253.5,480.0,0.001693,0.0,0.005643,0.0,0.0,empty
68,1,202.0,493.0,0.0,0.0,0.0,0.0,0.0,empty
68,2,219.0,493.0,0.0,0.0,0.0,0.0,0.0,empty
68,3,236.5,493.0,0.86957,0.878049,0.87011,0.853659,0.878049,candidate_marked
68,4,253.5,493.0,0.00132,0.0,0.0044,0.0,0.0,empty
69,1,202.0,507.0,0.827791,0.829268,0.844668,0.804878,0.829268,candidate_marked
69,2,219.5,507.0,0.002324,0.0,0.007747,0.0,0.0,empty
69,3,236.5,507.0,0.0,0.0,0.0,0.0,0.0,empty
69,4,253.5,507.0,0.001779,0.0,0.00593,0.0,0.0,empty
70,1,202.0,520.0,0.0,0.0,0.0,0.0,0.0,empty
70,2,219.3235294117647,520.0,0.879971,0.878049,0.884457,0.878049,0.878049,candidate_marked
70,3,236.5,520.0,0.0,0.0,0.0,0.0,0.0,empty
70,4,253.5,520.0,0.00132,0.0,0.0044,0.0,0.0,empty
71,1,202.0,534.0,0.707317,0.707317,0.707317,0.707317,0.707317,candidate_marked
71,2,219.5,534.0,0.00241,0.0,0.008034,0.0,0.0,empty
71,3,236.5,534.0,0.0,0.0,0.0,0.0,0.0,empty
71,4,253.5,534.0,0.001808,0.0,0.006026,0.0,0.0,empty
72,1,202.0,547.0,0.0,0.0,0.0,0.0,0.0,empty
72,2,219.5,547.0,0.001894,0.0,0.006313,0.0,0.0,empty
72,3,236.5,547.0,0.917948,0.926829,0.917551,0.902439,0.926829,candidate_marked
72,4,253.5,547.0,0.001349,0.0,0.004495,0.0,0.0,empty
73,1,202.0,561.0,0.0,0.0,0.0,0.0,0.0,empty
73,2,219.5,561.0,0.002525,0.0,0.008417,0.0,0.0,empty
73,3,236.5,561.0,0.0,0.0,0.0,0.0,0.0,empty
73,4,253.5,561.0,0.611019,0.609756,0.613965,0.609756,0.609756,candidate_marked
74,1,202.0,574.0,0.0,0.0,0.0,0.0,0.0,empty
74,2,219.5,574.0,0.001951,0.0,0.006504,0.0,0.0,empty
74,3,236.5,574.0,0.829268,0.829268,0.829268,0.829268,0.829268,candidate_marked
74,4,253.5,574.0,0.001349,0.0,0.004495,0.0,0.0,empty
75,1,202.0,587.5833333333334,0.733888,0.731707,0.738977,0.731707,0.731707,candidate_marked
75,2,219.5,588.0,0.002582,0.0,0.008608,0.0,0.0,empty
75,3,236.5,587.5,0.015255,0.0,0.05085,0.0,0.0,empty
75,4,253.5,587.5,0.019647,0.0,0.06549,0.0,0.0,empty
76,1,202.0,601.0,0.0,0.0,0.0,0.0,0.0,empty
76,2,219.3235294117647,601.0,0.853659,0.853659,0.853659,0.853659,0.853659,candidate_marked
76,3,236.5,601.0,0.0,0.0,0.0,0.0,0.0,empty
76,4,253.5,601.0,0.001463,0.0,0.004878,0.0,0.0,empty
77,1,202.0,614.5,0.014824,0.0,0.049412,0.0,0.0,empty
77,2,219.0,614.5,0.014824,0.0,0.049412,0.0,0.0,empty
77,3,236.5,614.5,0.78066,0.780488,0.781062,0.780488,0.780488,candidate_marked
77,4,253.5,614.5,0.01749,0.0,0.058301,0.0,0.0,empty
78,1,202.0,628.0,0.0,0.0,0.0,0.0,0.0,empty
78,2,219.3235294117647,628.0,0.879627,0.878049,0.883309,0.878049,0.878049,candidate_marked
78,3,236.5,628.0,0.0,0.0,0.0,0.0,0.0,empty
78,4,253.5,628.0,0.001463,0.0,0.004878,0.0,0.0,empty
79,1,202.0,641.5,0.015392,0.0,0.051307,0.0,0.0,empty
79,2,219.0,641.5,0.015451,0.0,0.051503,0.0,0.0,empty
79,3,236.5,641.5,0.015373,0.0,0.051242,0.0,0.0,empty
79,4,253.5,641.5,0.606729,0.609756,0.61999,0.585366,0.609756,candidate_marked
80,1,202.0,655.0,0.0,0.0,0.0,0.0,0.0,empty
80,2,219.5,655.0,0.002066,0.0,0.006887,0.0,0.0,empty
80,3,236.5,655.0,0.0,0.0,0.0,0.0,0.0,empty
80,4,253.5,655.0,0.802367,0.804878,0.816834,0.780488,0.804878,candidate_marked
81,1,202.0,668.0,0.0,0.0,0.0,0.0,0.0,empty
81,2,219.0,668.0,0.0,0.0,0.0,0.0,0.0,empty
81,3,236.5,668.0,0.0,0.0,0.0,0.0,0.0,empty
81,4,253.5,668.0,0.638824,0.634146,0.649737,0.634146,0.634146,candidate_marked
82,1,202.0,682.0,0.0,0.0,0.0,0.0,0.0,empty
82,2,219.3235294117647,682.0,0.802826,0.804878,0.818364,0.780488,0.804878,candidate_marked
82,3,236.5,682.0,0.0,0.0,0.0,0.0,0.0,empty
82,4,253.5,682.0,0.001607,0.0,0.005356,0.0,0.0,empty
83,1,202.0,695.0,0.0,0.0,0.0,0.0,0.0,empty
83,2,219.0,695.0,0.0,0.0,0.0,0.0,0.0,empty
83,3,236.5,695.0,0.756098,0.756098,0.756098,0.756098,0.756098,candidate_marked
83,4,253.5,695.0,0.00132,0.0,0.0044,0.0,0.0,empty
84,1,202.0,709.0,0.0,0.0,0.0,0.0,0.0,empty
84,2,219.3235294117647,709.0,0.863615,0.853659,0.886848,0.853659,0.853659,candidate_marked
84,3,236.5,709.0,0.0,0.0,0.0,0.0,0.0,empty
84,4,253.5,709.0,0.001664,0.0,0.005548,0.0,0.0,empty
85,1,202.0,722.0,0.0,0.0,0.0,0.0,0.0,empty
85,2,219.3235294117647,722.0,0.823659,0.829268,0.830894,0.804878,0.829268,candidate_marked
85,3,236.5,722.0,0.0,0.0,0.0,0.0,0.0,empty
85,4,253.5,722.0,0.00132,0.0,0.0044,0.0,0.0,empty
86,1,202.0,736.0,0.0,0.0,0.0,0.0,0.0,empty
86,2,219.5,736.0,0.002267,0.0,0.007556,0.0,0.0,empty
86,3,236.5,736.0,0.731765,0.731707,0.731899,0.731707,0.731707,candidate_marked
86,4,253.5,736.0,0.001722,0.0,0.005739,0.0,0.0,empty
87,1,202.0,749.0,0.0,0.0,0.0,0.0,0.0,empty
87,2,219.0,749.0,0.0,0.0,0.0,0.0,0.0,empty
87,3,236.5,749.0,0.0,0.0,0.0,0.0,0.0,empty
87,4,253.5,749.0,0.760143,0.756098,0.769584,0.756098,0.756098,candidate_marked
88,1,202.0,763.0,0.0,0.0,0.0,0.0,0.0,empty
88,2,219.5,763.0,0.002353,0.0,0.007843,0.0,0.0,empty
88,3,236.5,763.0,0.0,0.0,0.0,0.0,0.0,empty
88,4,253.5,763.0,0.587202,0.585366,0.591487,0.585366,0.585366,candidate_marked
89,1,202.0,776.0,0.0,0.0,0.0,0.0,0.0,empty
89,2,219.5,776.0,0.001836,0.0,0.006121,0.0,0.0,empty
89,3,236.5,776.0,0.853659,0.853659,0.853659,0.853659,0.853659,candidate_marked
89,4,253.5,776.0,0.00132,0.0,0.0044,0.0,0.0,empty
90,1,202.0,790.0,0.0,0.0,0.0,0.0,0.0,empty
90,2,219.3235294117647,790.0,0.870344,0.878049,0.872693,0.853659,0.878049,candidate_marked
90,3,236.5,790.0,0.0,0.0,0.0,0.0,0.0,empty
90,4,253.5,790.0,0.001836,0.0,0.006121,0.0,0.0,empty
91,1,202.0,803.0,0.0,0.0,0.0,0.0,0.0,empty
91,2,219.3235294117647,803.0,0.976241,0.97561,0.977714,0.97561,0.97561,candidate_marked
91,3,236.5,803.0,0.0,0.0,0.0,0.0,0.0,empty
